@RELATION svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE features137 NUMERIC
@ATTRIBUTE features138 NUMERIC
@ATTRIBUTE class {./out/bal/Cough,./out/bal/Bell,./out/bal/Speech}

@DATA
0.080050,0.029073,2.136888,0.131929,0.145884,0.544602,0.000063,0.089952,-21.998685,0.681163,-0.643034,-0.395510,-0.450340,0.644716,0.271931,-0.019064,-0.462023,-0.214401,0.057562,0.026309,0.080019,0.000883,0.005861,0.004109,0.001686,0.002304,0.003821,0.002896,0.001697,0.001724,0.000717,0.000751,0.002095,0.003733,-0.000305,0.000503,-0.007431,-0.000377,-0.000139,-0.005605,-0.000000,-0.000416,-0.017072,-0.001825,-0.003229,-0.007405,-0.009338,0.007102,0.020371,0.005548,-0.012196,-0.014954,0.007245,0.004288,0.001773,-0.000004,-0.000017,0.000011,0.000007,-0.000033,0.000095,-0.000004,-0.000009,-0.000003,-0.000001,-0.000001,-0.000001,0.000015,0.006331,0.008636,0.335206,0.015082,0.010709,0.187454,0.000084,0.020744,0.434261,0.417015,0.299354,0.343154,0.331453,0.303645,0.272902,0.159910,0.215342,0.188213,0.224227,0.180380,0.096282,0.000548,0.003756,0.002661,0.000926,0.001731,0.002096,0.002475,0.001320,0.001181,0.000490,0.000423,0.001452,0.001480,0.002160,0.002485,0.260144,0.006455,0.008106,0.094208,0.000077,0.015077,0.211498,0.147191,0.141444,0.108252,0.113180,0.102055,0.097200,0.086004,0.079948,0.076895,0.090574,0.067461,0.061190,0.000449,0.001656,0.001882,0.000604,0.001024,0.001437,0.001132,0.000824,0.000565,0.000362,0.000229,0.000633,0.000907,109.090909,0.056604,./out/bal/Cough
0.333468,0.005908,2.787413,0.290485,0.237981,1.531250,0.000013,0.491747,-21.659813,1.674537,-0.916439,-0.461950,-0.613844,0.090927,-0.497128,-0.189118,-0.078632,-0.301899,0.127955,-0.444518,0.106490,0.001280,0.001615,0.001565,0.003764,0.001398,0.001714,0.001594,0.001020,0.002292,0.001395,0.002244,0.001996,0.001626,-0.000006,-0.000016,0.001992,0.000332,0.000137,0.002658,-0.000000,0.002425,-0.003526,0.002597,0.009252,-0.003644,-0.002844,-0.001663,0.002531,0.000693,0.001484,0.001508,0.001507,0.000422,0.000521,-0.000006,0.000022,0.000004,0.000004,0.000021,0.000009,-0.000029,-0.000007,-0.000018,-0.000001,-0.000000,-0.000025,-0.000000,0.034338,0.002129,0.187499,0.021315,0.005645,0.209289,0.000011,0.071224,0.508489,0.289631,0.294811,0.199288,0.226130,0.101507,0.080870,0.095059,0.136626,0.075065,0.100557,0.082629,0.089302,0.000366,0.000503,0.000701,0.002070,0.000397,0.000572,0.001037,0.000448,0.001248,0.000580,0.001039,0.000915,0.000547,0.007098,0.000429,0.116583,0.005782,0.002237,0.070462,0.000011,0.033439,0.153653,0.104946,0.085993,0.084099,0.084015,0.066847,0.052121,0.047736,0.053375,0.048608,0.046048,0.048931,0.062877,0.000311,0.000320,0.000464,0.001036,0.000295,0.000461,0.000664,0.000353,0.000555,0.000461,0.000770,0.000510,0.000318,120.000000,0.076190,./out/bal/Cough
0.036938,0.053333,2.001161,0.059990,0.079711,0.197632,0.000072,0.058958,-18.810118,1.848109,-0.410573,-0.358694,-1.026966,-0.130272,0.471925,-0.342235,0.014462,-0.235677,-0.147176,0.097007,-0.061413,0.003683,0.003150,0.003127,0.004201,0.005282,0.011386,0.002785,0.004588,0.001765,0.001848,0.002300,0.002940,0.004864,-0.000143,0.001318,-0.021406,-0.001589,-0.002947,-0.005202,-0.000017,-0.000388,0.081371,0.025612,0.012629,0.018697,-0.016086,0.012080,0.009413,-0.002291,-0.006386,-0.016454,-0.020800,-0.007144,0.019613,0.000019,0.000140,0.000140,0.000551,-0.000054,0.000472,-0.000633,0.000174,0.000033,0.000035,-0.000037,-0.000040,0.000066,0.003343,0.023764,0.532145,0.008360,0.020314,0.104294,0.000077,0.017457,1.599014,0.338326,0.123576,0.231824,0.219812,0.141839,0.132074,0.101914,0.106095,0.116239,0.105061,0.107409,0.071582,0.002781,0.001577,0.001828,0.001713,0.002793,0.008866,0.001612,0.003188,0.000936,0.000872,0.001119,0.001295,0.003014,0.000856,0.004994,0.335699,0.009413,0.025223,0.049002,0.000080,0.010262,0.443125,0.169353,0.087218,0.123579,0.111527,0.084731,0.080126,0.060173,0.064947,0.063899,0.079208,0.055385,0.060685,0.001278,0.001245,0.001505,0.001304,0.001804,0.003099,0.001514,0.001479,0.000701,0.000597,0.000988,0.001088,0.001143,240.000000,0.083333,./out/bal/Cough
0.042870,0.070994,2.784294,0.097125,0.139940,0.226328,0.000105,0.058536,-20.525070,1.507288,-1.268647,-0.376554,-0.413145,0.163499,0.016520,-0.187719,-0.067009,0.199447,0.022840,-0.172465,-0.141192,0.001006,0.002319,0.003322,0.002408,0.002348,0.003205,0.001588,0.002488,0.003243,0.003805,0.004629,0.002182,0.004060,-0.000094,0.000067,0.005948,0.000444,0.000366,0.001636,0.000000,0.000267,0.033354,-0.005180,0.014175,-0.003452,-0.009632,-0.003000,-0.007908,0.002625,0.004976,-0.004254,-0.003771,0.003109,0.001736,0.000014,0.000067,0.000241,0.000001,-0.000023,-0.000102,-0.000024,-0.000003,-0.000060,0.000000,-0.000014,0.000066,0.000040,0.005591,0.024059,0.263407,0.009484,0.013470,0.072241,0.000056,0.009132,0.881968,0.403467,0.265774,0.176777,0.214126,0.198687,0.208654,0.241871,0.265695,0.246391,0.254206,0.158924,0.125457,0.000341,0.001309,0.001011,0.001947,0.002076,0.002579,0.001014,0.002646,0.002320,0.002667,0.003330,0.000840,0.001601,0.001100,0.003276,0.096327,0.007582,0.016670,0.031602,0.000043,0.004564,0.325666,0.283420,0.142373,0.126729,0.094426,0.093372,0.105095,0.105785,0.097961,0.083297,0.084496,0.074328,0.081699,0.000265,0.000543,0.000601,0.001498,0.001628,0.001288,0.000727,0.001420,0.001413,0.001360,0.001368,0.000565,0.001224,400.000000,0.151724,./out/bal/Cough
0.069028,0.006889,2.155777,0.091249,0.089933,0.321388,0.000038,0.082613,-22.272394,-0.868580,-1.736338,0.329405,-0.396502,-0.379028,-0.054927,0.072427,-0.175228,0.243146,-0.169679,-0.243795,0.108977,0.001034,0.000321,0.000749,0.000710,0.001311,0.001417,0.001602,0.001652,0.001097,0.001110,0.002070,0.000490,0.001469,-0.000024,0.000041,-0.001269,0.000069,0.000287,-0.000289,0.000000,-0.000024,0.008173,0.002317,0.001170,0.001946,-0.002349,0.000396,-0.002365,0.000355,0.000459,-0.001029,-0.001706,0.001618,-0.000606,0.000001,0.000001,-0.000002,-0.000001,0.000003,0.000001,0.000001,-0.000008,-0.000004,0.000010,0.000031,-0.000003,0.000008,0.002401,0.001811,0.247107,0.006033,0.014386,0.087059,0.000052,0.008339,0.608344,0.151390,0.187016,0.194228,0.181324,0.258143,0.183336,0.145102,0.147546,0.128071,0.140870,0.100290,0.085740,0.000799,0.000176,0.000467,0.000340,0.000914,0.000965,0.001117,0.001034,0.000851,0.000503,0.000997,0.000324,0.000491,0.000877,0.000779,0.227907,0.006531,0.019064,0.041426,0.000072,0.004972,0.245227,0.094118,0.086720,0.097506,0.090276,0.104942,0.084537,0.074088,0.081903,0.079162,0.075012,0.064880,0.056603,0.000569,0.000130,0.000388,0.000221,0.000484,0.000612,0.000758,0.000694,0.000534,0.000388,0.000655,0.000305,0.000371,240.000000,0.166667,./out/bal/Cough
0.049916,0.023564,2.184479,0.078510,0.080650,0.674196,0.000079,0.107326,-21.357067,0.950113,0.337693,-1.285853,-0.391306,-0.027286,0.029130,0.259061,-0.148466,0.028485,-0.070324,-0.086552,-0.124007,0.002401,0.004082,0.001738,0.001120,0.001279,0.001759,0.001205,0.001904,0.001518,0.001079,0.000827,0.003706,0.001936,-0.000355,-0.000144,0.084587,-0.002391,-0.002501,-0.035774,-0.000011,-0.001341,-0.079725,0.051129,-0.025851,0.047398,-0.008634,-0.013962,0.011827,-0.008292,0.016417,-0.014133,-0.007563,0.010037,-0.012020,0.000094,0.000123,0.000064,0.000142,0.000073,0.000072,0.000124,0.000096,0.000159,-0.000016,0.000146,0.000028,0.000018,0.007389,0.013351,0.740619,0.010459,0.016550,0.187851,0.000094,0.017332,2.015188,0.329014,0.424253,0.546974,0.268152,0.178088,0.169112,0.203183,0.172024,0.196897,0.144361,0.115945,0.092304,0.002034,0.002554,0.000941,0.000406,0.000743,0.001238,0.000755,0.001015,0.000773,0.000719,0.000351,0.002769,0.000935,0.001589,0.002773,0.429908,0.009634,0.017411,0.107496,0.000086,0.012725,0.507860,0.225916,0.183680,0.167684,0.116657,0.101301,0.086574,0.098825,0.108294,0.092348,0.083319,0.080744,0.062716,0.001845,0.001275,0.000678,0.000336,0.000653,0.001035,0.000666,0.000825,0.000496,0.000501,0.000326,0.001976,0.000801,300.000000,0.063636,./out/bal/Cough
0.103160,0.004366,2.404615,0.146308,0.120332,1.182365,0.000022,0.212475,-23.069526,-0.507849,-0.136699,-0.053342,-0.220089,-0.016746,-0.219619,0.265531,0.093191,0.162728,0.044812,0.030373,-0.008813,0.001227,0.001387,0.001147,0.000983,0.002506,0.001653,0.001154,0.001778,0.000780,0.001396,0.003475,0.001996,0.001481,-0.000516,-0.000011,0.009811,0.000570,0.001961,-0.006759,-0.000001,-0.000959,-0.030557,0.019065,0.004320,0.005503,0.002308,-0.001892,0.000163,0.001679,0.001487,-0.000665,-0.000278,0.000351,0.000399,0.000010,-0.000021,-0.000000,-0.000000,0.000041,0.000013,0.000037,0.000047,-0.000005,-0.000008,-0.000055,0.000052,0.000005,0.009718,0.001135,0.319159,0.012236,0.006016,0.214590,0.000017,0.037956,0.776445,0.466831,0.304848,0.250725,0.221556,0.136483,0.187648,0.140727,0.183485,0.135582,0.133722,0.088280,0.108555,0.000522,0.000880,0.000450,0.000345,0.000770,0.000584,0.000440,0.000826,0.000406,0.000598,0.001853,0.000770,0.000468,0.003346,0.000452,0.189449,0.004822,0.006160,0.055673,0.000014,0.013039,0.234660,0.156432,0.113498,0.113173,0.078804,0.076465,0.074608,0.068523,0.072714,0.067901,0.063599,0.058845,0.055917,0.000282,0.000471,0.000252,0.000257,0.000373,0.000386,0.000213,0.000326,0.000293,0.000404,0.000836,0.000481,0.000279,171.428571,0.068182,./out/bal/Cough
0.091344,0.001378,1.825477,0.195461,0.188680,0.956296,0.000040,0.143006,-26.207080,0.724361,0.519175,0.700771,0.426807,0.022414,0.458955,-0.006059,0.195673,-0.345150,0.381671,-0.203669,0.056198,0.000868,0.000529,0.002171,0.002647,0.003224,0.001460,0.001130,0.001385,0.001477,0.001383,0.001463,0.000967,0.001287,-0.000281,-0.000015,-0.008401,-0.000145,-0.000908,0.002442,-0.000010,-0.000627,-0.014699,-0.014140,0.026609,-0.013222,-0.003313,0.009697,-0.021380,0.007351,0.000733,0.004936,-0.005326,-0.000203,0.006392,-0.000049,0.000011,0.000066,0.000221,0.000233,0.000010,-0.000016,0.000003,0.000528,-0.000061,-0.000261,-0.000063,0.000110,0.014278,0.000649,0.591991,0.013917,0.008491,0.275674,0.000046,0.036063,1.814507,0.547871,0.266821,0.280637,0.195484,0.164031,0.191317,0.140901,0.109878,0.157496,0.144564,0.088868,0.096557,0.000433,0.000242,0.001170,0.001351,0.001127,0.000631,0.000474,0.000600,0.000563,0.000841,0.000674,0.000447,0.000451,0.003579,0.000260,0.429050,0.008235,0.006115,0.179872,0.000048,0.022257,0.847983,0.277715,0.165798,0.150640,0.088199,0.086936,0.099633,0.080215,0.059096,0.085803,0.072837,0.055541,0.057257,0.000304,0.000196,0.000916,0.001052,0.000903,0.000488,0.000365,0.000369,0.000437,0.000509,0.000514,0.000314,0.000342,150.000000,0.076923,./out/bal/Cough
0.074360,0.008324,2.504622,0.116906,0.136587,0.431320,0.000029,0.084541,-21.317910,0.635522,-0.855312,-0.537265,-0.933199,-0.063492,-0.027051,-0.167133,-0.283017,-0.288189,-0.158610,-0.232252,-0.047199,0.003224,0.009200,0.003872,0.001868,0.004784,0.001640,0.002057,0.001311,0.002076,0.001395,0.001523,0.001130,0.004034,0.000325,-0.000097,-0.005026,-0.000293,-0.000104,-0.003287,-0.000002,-0.000334,-0.020975,0.016672,-0.003463,-0.001048,-0.000413,0.006293,-0.012293,0.000126,-0.006553,-0.003731,0.007156,-0.002625,0.003701,-0.000047,-0.000165,0.000170,-0.000028,0.000020,0.000047,0.000013,0.000011,0.000136,-0.000005,0.000000,0.000005,-0.000061,0.006263,0.001939,0.228346,0.006470,0.007054,0.083666,0.000026,0.014784,0.509769,0.214203,0.236999,0.211633,0.176396,0.164430,0.165807,0.162603,0.195207,0.099213,0.106271,0.141175,0.126890,0.001486,0.003412,0.001611,0.001085,0.003602,0.000883,0.001349,0.000729,0.000848,0.000696,0.000760,0.000775,0.000910,0.002620,0.000619,0.237647,0.004314,0.006391,0.040091,0.000029,0.006669,0.167508,0.088304,0.098386,0.090812,0.067319,0.077400,0.067149,0.066225,0.068890,0.051255,0.059660,0.058283,0.048540,0.000818,0.001385,0.001051,0.000768,0.001422,0.000591,0.000724,0.000605,0.000611,0.000430,0.000444,0.000494,0.000562,133.333333,0.088235,./out/bal/Cough
0.153290,0.004038,2.013000,0.153661,0.131440,1.096480,0.000023,0.188199,-22.256245,1.775908,-0.592202,-0.865244,0.203959,-0.075678,0.079912,-0.137898,-0.304315,0.090857,-0.256232,0.050025,-0.101294,0.001390,0.003680,0.002253,0.003359,0.002094,0.002829,0.002168,0.002667,0.002072,0.001315,0.001354,0.001009,0.002297,0.000095,0.000023,-0.023696,-0.000429,-0.000091,-0.007191,-0.000000,-0.001202,0.005527,0.011247,-0.003096,0.000674,-0.002883,-0.002208,0.000901,0.003548,0.000385,-0.003753,0.002031,-0.001825,0.000012,0.000004,0.000025,0.000030,0.000068,0.000000,-0.000007,0.000003,-0.000009,0.000001,0.000000,0.000005,-0.000001,0.000011,0.011778,0.001646,0.274347,0.013553,0.007799,0.191490,0.000032,0.033346,0.956412,0.244662,0.297888,0.118798,0.158938,0.126487,0.138381,0.168912,0.105401,0.097020,0.100449,0.089433,0.087738,0.000733,0.001767,0.000728,0.000999,0.001067,0.001613,0.001231,0.001222,0.000904,0.000639,0.000494,0.000495,0.000790,0.003218,0.000444,0.192911,0.005744,0.006329,0.072816,0.000033,0.014499,0.332577,0.119990,0.117716,0.068590,0.079314,0.063249,0.072476,0.077415,0.062859,0.058572,0.050451,0.054310,0.049728,0.000505,0.000841,0.000642,0.000905,0.000698,0.000740,0.000735,0.000907,0.000911,0.000573,0.000450,0.000380,0.000462,120.000000,0.100000,./out/bal/Cough
