@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {Cough,nonCough}

@DATA
0.193739,0.009863,2.869257,0.235739,0.219902,1.080274,0.004434,0.256219,-26.124990,1.992729,-1.627752,-0.062575,-0.587952,0.077334,-0.295438,-0.160064,-0.150372,-0.359214,0.206353,-0.411798,0.177896,0.012542,0.008841,0.009689,0.014455,0.016663,0.008982,0.018502,0.013195,0.010928,0.006084,0.005671,0.005788,0.010943,0.008994,-0.000067,-0.000782,0.003713,-0.000182,-0.008121,0.000106,0.000107,-0.166119,-0.065999,-0.005830,-0.026156,0.031457,-0.001489,0.028232,-0.013611,0.027196,-0.007266,0.007586,-0.012459,-0.004561,-0.000014,0.000000,-0.000233,-0.000251,-0.000275,-0.000234,-0.000908,-0.000061,0.000073,-0.000060,-0.000085,0.000001,-0.000170,0.126407,0.013121,0.430342,0.083342,0.012213,0.806857,0.003493,0.250001,2.415924,0.442040,0.835314,0.296404,0.530629,0.398956,0.302054,0.337130,0.284672,0.326419,0.242159,0.165909,0.221846,0.012438,0.009008,0.008196,0.015751,0.017767,0.007823,0.021893,0.024588,0.013624,0.004412,0.003784,0.005641,0.007849,0.079281,0.017382,0.352590,0.054572,0.013336,0.638796,0.005111,0.201171,1.776032,0.539201,0.819122,0.320903,0.480158,0.492626,0.307868,0.517925,0.340232,0.409969,0.299345,0.227618,0.252060,0.014858,0.011588,0.011966,0.017039,0.014259,0.010112,0.028201,0.028735,0.019647,0.005510,0.004799,0.007644,0.008725,Cough
0.313379,0.005727,2.999727,0.307093,0.234171,1.773833,0.002305,0.482021,-26.990748,2.037643,-0.819319,-0.466242,-0.480795,-0.088178,-0.233977,-0.256137,-0.089105,-0.352843,0.072575,-0.518504,0.302968,0.009005,0.012346,0.010469,0.020262,0.010794,0.007825,0.012535,0.005638,0.006135,0.003500,0.005911,0.006372,0.008525,-0.001730,-0.000299,0.000497,0.000056,0.000509,0.044089,0.000083,0.000907,-0.157483,0.000283,0.083422,-0.025200,-0.001599,-0.003126,-0.023837,0.012831,-0.004743,0.006507,0.004042,0.013260,-0.000029,0.000214,-0.000016,0.000199,0.000071,0.000675,-0.000012,0.000150,0.000024,0.000039,0.000058,0.000098,-0.000004,0.000162,0.134807,0.007480,0.484874,0.072347,0.012508,0.594322,0.001074,0.207482,2.361347,0.519487,0.510278,0.422100,0.621170,0.305145,0.259472,0.307012,0.293602,0.281376,0.423941,0.262018,0.304968,0.008753,0.012395,0.008637,0.028337,0.007062,0.008369,0.013283,0.009377,0.006774,0.002603,0.004887,0.006431,0.007165,0.126998,0.009287,0.597175,0.074712,0.017569,0.556720,0.001506,0.203777,2.466371,0.516371,0.480619,0.401472,0.504170,0.327202,0.247828,0.287659,0.249896,0.299538,0.354214,0.259784,0.378524,0.011073,0.015234,0.011485,0.028365,0.010084,0.010439,0.015256,0.013957,0.008601,0.004148,0.005479,0.007811,0.007381,Cough
0.058325,0.051557,3.022181,0.099104,0.126244,0.551227,0.012470,0.085122,-26.205593,1.002921,0.312771,-1.082607,-0.375291,-0.292166,0.041152,0.204461,-0.163058,0.112240,0.015426,-0.013567,-0.045144,0.010825,0.023552,0.010141,0.015292,0.008185,0.013910,0.010130,0.006860,0.007068,0.012580,0.008014,0.004774,0.014533,0.005490,-0.014955,0.006700,0.000966,-0.002715,0.062825,0.000163,0.007179,-0.238134,-0.081157,0.063218,0.024281,0.065640,0.007109,-0.000687,-0.016375,-0.018356,-0.014740,0.010342,0.017530,0.001190,-0.000298,-0.009705,-0.000560,-0.001362,-0.000357,0.000264,0.000671,0.000720,-0.000030,0.000441,0.000095,0.000494,-0.002996,0.027390,0.063355,0.383966,0.026136,0.040743,0.344919,0.010157,0.041410,3.308097,0.765899,0.819067,0.759286,0.393614,0.316274,0.262427,0.331688,0.386526,0.294819,0.279765,0.334453,0.112947,0.013558,0.048025,0.013045,0.018752,0.007459,0.013629,0.007165,0.006685,0.008087,0.013832,0.007292,0.005303,0.011887,0.022918,0.082726,0.484218,0.037163,0.053944,0.331029,0.013045,0.047185,2.147822,0.849833,0.709424,0.440856,0.484666,0.268103,0.359723,0.391667,0.523016,0.230679,0.350688,0.397165,0.158956,0.020702,0.044749,0.017350,0.016394,0.006797,0.014511,0.010397,0.010329,0.011082,0.017943,0.007058,0.007537,0.012285,Cough
0.060249,0.039183,3.074991,0.094666,0.120596,0.505396,0.007839,0.088521,-26.193914,0.787590,-0.096981,-0.725990,-0.017000,0.007029,-0.147131,0.130027,-0.039237,-0.176656,-0.109455,-0.147779,-0.057339,0.022729,0.012418,0.014895,0.020194,0.007572,0.007292,0.007332,0.003159,0.005458,0.010237,0.015424,0.006363,0.013022,-0.004716,-0.000213,0.011534,-0.003830,-0.001791,-0.039764,0.000330,-0.005677,-0.209473,0.150755,-0.005423,0.060185,0.028379,-0.036263,0.028247,-0.006298,-0.020728,-0.034739,-0.031076,0.009455,-0.013964,0.001565,-0.000032,-0.000022,0.002003,0.000112,0.000857,0.000020,-0.000174,-0.000291,0.002376,0.003736,-0.000152,0.000955,0.023206,0.024716,0.129657,0.029562,0.034189,0.276636,0.003359,0.025420,1.891481,0.980948,0.719627,0.635598,0.382884,0.604918,0.331428,0.319626,0.328748,0.193526,0.265155,0.188797,0.228436,0.022125,0.013322,0.018800,0.020004,0.006596,0.012221,0.007942,0.004243,0.007217,0.010760,0.013870,0.007491,0.006896,0.022417,0.028493,0.160515,0.028236,0.038600,0.289382,0.003970,0.019173,1.554856,0.619085,0.594428,0.487693,0.359234,0.360675,0.268967,0.330004,0.263610,0.196907,0.282820,0.228342,0.258395,0.029535,0.018515,0.026019,0.020828,0.008671,0.014559,0.010707,0.005609,0.010850,0.012869,0.013195,0.009680,0.007872,Cough
0.137985,0.006879,3.022665,0.173060,0.145451,1.180689,0.004415,0.231700,-27.931523,-0.143677,-0.054343,-0.104323,-0.059493,0.141491,-0.109094,0.305220,-0.048539,0.083266,0.028101,0.047933,0.014654,0.004513,0.003422,0.041633,0.006021,0.018019,0.003746,0.046007,0.001687,0.002222,0.004814,0.007192,0.003159,0.019576,-0.005247,-0.000117,-0.012269,-0.002988,-0.000398,-0.038126,0.000135,-0.008376,-0.198891,0.018726,-0.022561,-0.001312,0.002777,-0.006970,0.004098,0.005183,-0.010189,-0.004853,-0.009027,-0.005198,0.003221,-0.000103,-0.000036,0.002651,-0.000036,0.002747,-0.000069,-0.000073,-0.000049,-0.000071,-0.000176,-0.000533,-0.000049,0.000441,0.056819,0.009171,0.290914,0.034642,0.020202,0.483169,0.003405,0.109959,2.451264,1.212630,0.680203,0.502851,0.391024,0.336646,0.311769,0.289050,0.268675,0.267739,0.256572,0.164925,0.198538,0.005560,0.004054,0.039549,0.008636,0.017738,0.003799,0.046236,0.001374,0.002466,0.006866,0.008317,0.003584,0.015576,0.043461,0.009013,0.388600,0.030287,0.022073,0.385914,0.004634,0.100013,1.737860,0.894475,0.621914,0.493347,0.435856,0.350294,0.302040,0.296264,0.299925,0.272517,0.268266,0.224811,0.235924,0.007424,0.005224,0.044880,0.011269,0.017336,0.004748,0.047355,0.001880,0.003028,0.009973,0.009758,0.004785,0.015005,Cough
0.111661,0.020460,3.009757,0.146623,0.144913,0.723256,0.005998,0.140625,-25.750490,-0.471521,-0.736148,-0.271122,-0.333184,0.774104,-0.133945,-0.429852,-0.136347,-0.303032,0.170525,-0.129326,0.051921,0.004835,0.006529,0.006231,0.003612,0.004490,0.005089,0.007131,0.007960,0.003317,0.007178,0.008955,0.005586,0.006043,-0.010187,0.000395,-0.011065,-0.005045,-0.004576,-0.060169,0.000227,-0.014531,0.425439,-0.028102,0.013198,-0.041413,0.010934,0.037783,-0.068340,-0.017470,-0.015962,0.015486,-0.025679,-0.039485,-0.015804,0.000339,-0.000070,-0.000219,0.000083,-0.000271,0.000066,0.000259,0.000044,-0.000536,0.001267,0.000554,0.000377,0.000216,0.047333,0.019007,0.207202,0.024530,0.023387,0.442397,0.003138,0.077453,2.477509,0.892071,0.403849,0.556490,0.509062,0.485771,0.342233,0.352542,0.306498,0.288854,0.323775,0.276502,0.241490,0.005006,0.007444,0.004259,0.005541,0.003380,0.006541,0.009157,0.010593,0.003467,0.006269,0.013267,0.006085,0.003431,0.045653,0.016041,0.288508,0.021269,0.024399,0.385337,0.003678,0.077860,2.931438,0.643402,0.472932,0.586011,0.426695,0.398001,0.494886,0.323956,0.369742,0.296365,0.248453,0.372188,0.167620,0.007461,0.011824,0.005613,0.005975,0.003683,0.009488,0.010571,0.013824,0.004527,0.006081,0.017062,0.008341,0.004811,Cough
0.213860,0.006145,3.019491,0.244834,0.203442,1.628666,0.003070,0.371805,-35.446936,0.820784,-0.217179,0.142302,-0.155338,-0.231190,0.264713,-0.224923,-0.091041,-0.089744,-0.158302,-0.153955,-0.121236,0.008646,0.004252,0.010156,0.010548,0.012322,0.007788,0.008919,0.005196,0.008769,0.009753,0.008653,0.004121,0.007943,-0.001335,-0.001440,-0.003479,-0.000567,0.000809,-0.004055,-0.000310,-0.002739,-0.130653,0.060348,-0.003596,-0.036831,-0.005373,-0.000653,-0.000844,0.016410,0.002586,-0.025691,-0.001909,-0.007556,-0.010569,0.000527,0.000281,0.000663,0.000504,0.000871,0.000123,-0.000717,-0.000174,-0.000264,0.000295,-0.000057,0.000030,0.000053,0.086322,0.015760,0.439409,0.066377,0.030709,0.760200,0.003129,0.193713,5.517621,0.621874,0.484263,0.532398,0.311444,0.206676,0.334469,0.220760,0.207869,0.247546,0.206885,0.191016,0.184200,0.006536,0.003918,0.006510,0.011665,0.012535,0.007500,0.006894,0.006343,0.010715,0.008632,0.006455,0.004787,0.005267,0.054002,0.017804,0.559717,0.042566,0.022379,0.441035,0.002686,0.118524,3.656093,0.603078,0.388778,0.510444,0.348185,0.235673,0.365440,0.263164,0.267145,0.273339,0.268725,0.211909,0.238934,0.008029,0.004755,0.007962,0.014102,0.011648,0.010685,0.010245,0.006491,0.013601,0.010591,0.008457,0.006634,0.005007,Cough
0.087195,0.050647,3.055605,0.154486,0.183516,0.552512,0.007640,0.122780,-28.402892,1.791408,-0.575655,0.075288,-0.626260,-0.405721,0.214962,-0.274245,-0.254230,-0.318435,-0.369101,-0.051914,-0.154037,0.027754,0.005856,0.018923,0.021426,0.045399,0.033558,0.009849,0.003381,0.003512,0.007833,0.010728,0.008856,0.026182,-0.001596,-0.005812,0.023788,0.000948,0.002545,0.009309,-0.000120,-0.005484,-0.643763,0.005738,0.010807,0.087537,0.003514,-0.032237,0.025419,-0.004116,-0.006590,-0.026266,-0.041164,0.013685,-0.002950,0.001105,-0.000706,0.000493,0.000332,0.001041,-0.000720,-0.002431,-0.001863,0.000327,0.000236,0.000056,-0.000018,-0.000438,0.074841,0.039189,0.445712,0.053845,0.031951,0.618251,0.006674,0.128158,6.214033,0.539084,0.535763,0.657740,0.336283,0.256986,0.255821,0.320792,0.285758,0.328311,0.294836,0.229494,0.282436,0.026525,0.006053,0.014868,0.026932,0.044246,0.035674,0.009250,0.005557,0.003058,0.007462,0.011034,0.010757,0.015710,0.032046,0.045347,0.583706,0.031706,0.027389,0.291371,0.008541,0.066548,2.807191,0.550846,0.445849,0.632337,0.392958,0.317027,0.405256,0.334966,0.350380,0.382271,0.444928,0.253310,0.318578,0.037486,0.009634,0.021804,0.037379,0.035010,0.028801,0.020939,0.010583,0.003431,0.009726,0.013083,0.013708,0.014938,Cough
0.056182,0.040840,2.647843,0.130667,0.172455,0.366214,0.008809,0.086842,-25.259525,1.888039,-0.900185,-0.251762,-0.590705,-0.195001,0.073329,-0.057883,-0.117915,-0.557531,-0.300921,-0.109658,-0.141913,0.012794,0.009558,0.037190,0.043932,0.039596,0.031272,0.004203,0.002260,0.002724,0.003541,0.005137,0.006475,0.029125,-0.006341,0.009341,-0.089036,-0.006154,-0.004814,-0.057076,0.000601,-0.017083,0.588896,0.035630,-0.065747,-0.287619,-0.149969,0.044872,-0.030175,0.025551,-0.021933,0.008761,0.054094,0.020321,0.018932,0.001601,-0.000064,-0.004415,-0.005707,0.002857,0.003353,-0.000416,0.000454,0.000097,-0.000117,0.000978,0.002910,-0.000627,0.059490,0.037711,0.617060,0.046114,0.029516,0.517848,0.005519,0.109038,3.864247,0.712353,0.496097,0.860424,0.390888,0.331128,0.324466,0.270376,0.306789,0.355895,0.241883,0.310457,0.347580,0.006025,0.005381,0.038751,0.047312,0.039654,0.039630,0.002636,0.002295,0.002773,0.003209,0.003917,0.007502,0.015659,0.038001,0.039404,0.704094,0.036442,0.032190,0.354214,0.008085,0.079981,3.987578,0.703661,0.629287,0.947621,0.455024,0.432229,0.335513,0.314151,0.371856,0.369924,0.206398,0.193209,0.349332,0.009840,0.006000,0.039469,0.037785,0.039704,0.028024,0.003169,0.003278,0.003624,0.003506,0.003642,0.005844,0.013568,Cough
0.115438,0.005720,3.022309,0.187215,0.175445,1.072501,0.003935,0.172937,-29.304578,-0.711628,-0.396324,-0.465623,-0.427778,0.161630,-0.371048,-0.280942,0.042127,0.081209,-0.237098,0.016598,-0.081047,0.005082,0.005684,0.007352,0.006686,0.019226,0.007389,0.009139,0.004562,0.005395,0.005575,0.008396,0.009014,0.009111,-0.001092,-0.000006,0.001432,-0.000931,0.000034,-0.016105,0.000050,-0.003606,0.008013,0.038997,0.027222,0.000396,-0.002483,0.004929,-0.003923,-0.013354,0.000895,-0.006841,0.006978,0.002954,-0.013619,0.000199,-0.000205,0.000608,0.000261,0.000005,0.000024,0.000051,0.000651,-0.000078,0.000158,0.000725,-0.000410,0.000114,0.047826,0.010687,0.322662,0.052960,0.021879,0.434456,0.002059,0.111160,3.062937,1.342678,0.538014,0.378194,0.496725,0.265952,0.267275,0.287076,0.230659,0.198038,0.312943,0.213257,0.208860,0.004921,0.005295,0.007170,0.006557,0.028808,0.007178,0.009311,0.005213,0.009618,0.004556,0.008164,0.008123,0.007963,0.050442,0.010711,0.448078,0.051741,0.022190,0.426647,0.002233,0.130869,2.324632,1.187757,0.547257,0.424099,0.542216,0.283380,0.324710,0.349105,0.331128,0.265066,0.316012,0.264456,0.258174,0.005848,0.006870,0.007944,0.008234,0.019933,0.008741,0.013223,0.006484,0.013834,0.006236,0.008443,0.012176,0.005901,Cough
